ID,tipoplan,canalpago,consumomes,Estrato,Sexo,Edad,EstadoCivil,Educacion,Recomienda,rango_antiguedad,servicio_adicional,gigas_cons
1159,Postpago cuenta control,presencial,73233.8461538462,1-2,Masculino,Menor a 25,Soltero/a,Profesional,No recomienda,250+,4,.894812248919052
1636,Empresarial Ejecutivo,presencial,291792,3-4,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Recomienda,250+,4,.897295233312188
1617,Empresarial Ejecutivo,online,647645,1-2,Masculino,Entre  26 y 45,Soltero/a,Posgrado,Neutro,250+,4,.909742532257709
1786,Postpago cuenta control,online,208800,1-2,Femenino,Entre  26 y 45,Casado/a,Bachillerato o inferior,No recomienda,72 - 158,1,.9260511954341
178,Postpago cuenta control,presencial,58700,3-4,Masculino,Entre  26 y 45,Casado/a,Profesional,Recomienda,<= 71,1,.926083742204531
694,Postpago cuenta control,presencial,22520,3-4,Masculino,Menor a 25,Soltero/a,Profesional,Neutro,<= 71,1,.933294683052443
1357,Postpago cuenta control,presencial,38233.3333333333,3-4,Femenino,Menor a 25,Soltero/a,Posgrado,Neutro,72 - 158,2,.933631119728251
15,Empresarial Ejecutivo,presencial,156995,5-6,Femenino,Menor a 25,Divorciado/a,Profesional,Recomienda,250+,2,.938818005459906
540,Empresarial Ejecutivo,online,354320,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,Recomienda,<= 71,1,.948399015342693
1190,Empresarial Ejecutivo,presencial,105037.777777778,1-2,Femenino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,159 - 249,3,.949575626152492
1930,Empresarial Ejecutivo,presencial,89568,0,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,4,.955306082210751
1426,Postpago cuenta control,online,114813.333333333,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,3,.956819007284523
595,Empresarial Ejecutivo,online,138987.027027027,3-4,Masculino,Mayor a 45,Soltero/a,Profesional,Recomienda,250+,4,.956974688217701
1724,Empresarial bajo costo,presencial,1055200,1-2,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,1,.957348509226976
1128,Postpago cuenta control,presencial,92536,1-2,Femenino,Menor a 25,Casado/a,Profesional,No recomienda,72 - 158,3,.966192585711326
480,Postpago cuenta control,presencial,97051.4814814815,0,Masculino,Entre  26 y 45,Casado/a,Posgrado,Recomienda,250+,4,.968792170780012
1376,Empresarial Ejecutivo,presencial,106754.285714286,3-4,Femenino,Entre  26 y 45,Divorciado/a,Profesional,No recomienda,72 - 158,4,.968801320305442
185,Postpago cuenta control,presencial,217866.666666667,0,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,3,.974318161556263
524,Empresarial Ejecutivo,presencial,140513.333333333,1-2,Femenino,Mayor a 45,Divorciado/a,Posgrado,Recomienda,250+,3,.975267098283045
1976,Postpago abierto,presencial,591600,3-4,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,3,.976089441556775
1989,Prepago,presencial,99110,3-4,Masculino,Entre  26 y 45,Separado/a,Bachillerato o inferior,Recomienda,<= 71,1,.987525361982408
917,Empresarial Ejecutivo,presencial,143500,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Neutro,72 - 158,3,.996064871970612
192,Postpago cuenta control,presencial,145350,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,2,1.00730201529928
255,Empresarial Ejecutivo,presencial,314180,1-2,Masculino,Entre  26 y 45,Soltero/a,Posgrado,No recomienda,<= 71,1,1.00904423140208
1858,Postpago cuenta control,presencial,178952.5,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,Recomienda,159 - 249,4,1.0120833097845
1365,Postpago cuenta control,online,56700,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,1,1.02217952844055
1301,Empresarial bajo costo,presencial,1344800,3-4,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,72 - 158,3,1.0236459962181
2022,Empresarial Ejecutivo,online,151160,1-2,Femenino,Mayor a 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,1,1.03384396041664
293,Postpago cuenta control,online,156120,0,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,1,1.03686565786376
703,Postpago cuenta control,presencial,55190,3-4,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,159 - 249,2,1.04181566531365
620,Postpago cuenta control,online,356706,1-2,Femenino,Entre  26 y 45,Soltero/a,Posgrado,Recomienda,72 - 158,3,1.0471239323609
187,Empresarial Ejecutivo,online,477000,1-2,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,1,1.05063002726049
1273,Prepago,presencial,108328.571428571,3-4,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,4,1.05678010749608
1760,Empresarial Ejecutivo,presencial,126400,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,72 - 158,1,1.05690459630935
1210,Prepago,presencial,35470,1-2,Masculino,Menor a 25,Casado/a,Profesional,Recomienda,<= 71,1,1.05771912151437
341,Empresarial Ejecutivo,presencial,334906.666666667,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,2,1.06241436666636
1873,Empresarial Ejecutivo,presencial,125332.857142857,5-6,Masculino,Menor a 25,Soltero/a,Profesional,Recomienda,72 - 158,3,1.07036978145106
921,Empresarial Ejecutivo,online,151200,1-2,Masculino,Mayor a 45,Soltero/a,Profesional,Recomienda,72 - 158,1,1.07232752628045
1559,Postpago cuenta control,online,178100,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,Neutro,159 - 249,1,1.07289839008756
1560,Prepago,presencial,156700,3-4,Masculino,Menor a 25,Casado/a,Profesional,Neutro,72 - 158,1,1.08413110347623
650,Prepago,presencial,50727.5,0,Femenino,Entre  26 y 45,Soltero/a,Profesional,Neutro,72 - 158,4,1.08564945826421
3,Prepago,online,86196.6666666667,3-4,Masculino,Menor a 25,Soltero/a,Técnico,No recomienda,250+,3,1.08872870399316
1101,Postpago cuenta control,presencial,148760,1-2,Femenino,Menor a 25,Casado/a,Profesional,Neutro,<= 71,1,1.08902483623482
1899,Empresarial Ejecutivo,online,179720,3-4,Masculino,Entre  26 y 45,Casado/a,Posgrado,Neutro,250+,1,1.09340744568074
505,Empresarial bajo costo,presencial,1601687.5,1-2,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Neutro,250+,4,1.09787549657459
125,Empresarial Ejecutivo,online,407960,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,<= 71,1,1.10450533786548
695,Postpago cuenta control,online,104118,3-4,Masculino,Menor a 25,Casado/a,Profesional,Recomienda,<= 71,2,1.10791900803222
386,Postpago cuenta control,presencial,42405.4054054054,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,3,1.11185019632142
459,Empresarial Ejecutivo,online,162982.5,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.1125580751801
496,Prepago,presencial,186100,1-2,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Neutro,72 - 158,1,1.1166913885901
1265,Postpago cuenta control,online,21600,1-2,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,No recomienda,72 - 158,1,1.11698768384449
73,Empresarial Ejecutivo,presencial,226620,3-4,Masculino,Menor a 25,Casado/a,Profesional,Neutro,<= 71,1,1.11786210457982
1001,Empresarial Ejecutivo,presencial,271669.032258065,3-4,Masculino,Entre  26 y 45,Divorciado/a,Técnico,Recomienda,72 - 158,4,1.12020573206001
140,Empresarial Ejecutivo,presencial,125540,3-4,Femenino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,250+,3,1.12441113882416
909,Prepago,presencial,54161.6666666667,3-4,Femenino,Entre  26 y 45,Casado/a,Profesional,Recomienda,159 - 249,4,1.12734213893917
985,Postpago cuenta control,online,40725,0,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,3,1.12765101876612
1876,Empresarial Ejecutivo,presencial,137240,1-2,Masculino,Menor a 25,Soltero/a,Profesional,Recomienda,159 - 249,3,1.13008143634113
478,Prepago,presencial,74070.9090909091,0,Masculino,Entre  26 y 45,Casado/a,Posgrado,Recomienda,250+,4,1.13613368893315
793,Prepago,online,126704.75,1-2,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.13666532032371
1730,Postpago cuenta control,online,91260,1-2,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,3,1.14603826489237
831,Prepago,online,177850,1-2,Femenino,Entre  26 y 45,Separado/a,Bachillerato o inferior,Recomienda,<= 71,1,1.14890398656212
704,Empresarial Ejecutivo,presencial,146200,3-4,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,159 - 249,1,1.15289967478212
86,Empresarial Ejecutivo,online,249695.833333333,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,Neutro,72 - 158,4,1.15746717369972
1051,Empresarial Ejecutivo,presencial,213000,3-4,Femenino,Entre  26 y 45,Separado/a,Tecnólogo,Neutro,72 - 158,3,1.15775781930843
880,Postpago cuenta control,online,240380,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,1,1.15924024744457
345,Postpago cuenta control,presencial,134142.857142857,1-2,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,72 - 158,3,1.15977817517976
1566,Postpago cuenta control,online,81753,0,Femenino,Entre  26 y 45,Soltero/a,Profesional,No recomienda,159 - 249,3,1.16091686053543
1654,Prepago,presencial,158890,3-4,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,250+,1,1.16121041515499
1661,Empresarial Ejecutivo,presencial,361400,3-4,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,No recomienda,159 - 249,2,1.16300265166587
690,Prepago,online,35200,1-2,Masculino,Menor a 25,Soltero/a,Profesional,Recomienda,72 - 158,1,1.16542226340499
1946,Empresarial Ejecutivo,presencial,175000,5-6,Femenino,Menor a 25,Divorciado/a,Técnico,Recomienda,159 - 249,1,1.16618026219564
1424,Postpago cuenta control,online,229728.684210526,0,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.16620774855588
360,Empresarial bajo costo,presencial,1703266.66666667,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.16685317962123
1182,Empresarial bajo costo,online,4116000,0,Femenino,Entre  26 y 45,Casado/a,Técnico,Recomienda,159 - 249,2,1.16859801683917
202,Empresarial Ejecutivo,presencial,227208,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,3,1.16953404016709
1427,Empresarial Ejecutivo,presencial,76800,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,1,1.17241788769526
1790,Empresarial Ejecutivo,online,250766.666666667,1-2,Masculino,Menor a 25,Soltero/a,Profesional,Neutro,159 - 249,3,1.18327766809113
182,Prepago,online,208430.943396226,0,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.18436703191464
1412,Postpago cuenta control,presencial,48748.1818181818,3-4,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,3,1.18956457667399
1838,Prepago,presencial,88316.6666666667,0,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,159 - 249,3,1.18976539482142
966,Postpago cuenta control,online,41480,1-2,Masculino,Entre  26 y 45,Soltero/a,Técnico,Recomienda,250+,1,1.19056606515147
1938,Postpago cuenta control,presencial,15500,3-4,Femenino,Entre  26 y 45,Soltero/a,Profesional,Neutro,72 - 158,1,1.19162695238321
1754,Prepago,online,101066.666666667,3-4,Masculino,Menor a 25,Casado/a,Profesional,Neutro,250+,4,1.19408402112282
278,Prepago,presencial,58030,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,1,1.19654584429624
1586,Empresarial Ejecutivo,presencial,235085.454545455,1-2,Masculino,Menor a 25,Casado/a,Posgrado,Recomienda,<= 71,3,1.19871114717249
1683,Postpago abierto,presencial,1289450,1-2,Femenino,Menor a 25,Soltero/a,Posgrado,No recomienda,250+,4,1.19978401884347
1486,Empresarial Ejecutivo,presencial,136140.8,1-2,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.20214478696753
1695,Prepago,presencial,141000,3-4,Femenino,Menor a 25,Soltero/a,Posgrado,No recomienda,72 - 158,1,1.20278817588609
280,Postpago cuenta control,presencial,96000,0,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Recomienda,72 - 158,1,1.20516016994515
1107,Prepago,presencial,115826.666666667,3-4,Femenino,Menor a 25,Divorciado/a,Profesional,Neutro,<= 71,3,1.20845950697563
1369,Empresarial Ejecutivo,presencial,151369.230769231,1-2,Femenino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Recomienda,159 - 249,3,1.21103107222497
722,Empresarial Ejecutivo,presencial,243800,1-2,Femenino,Menor a 25,Soltero/a,Profesional,No recomienda,<= 71,1,1.21340560018991
1279,Postpago cuenta control,presencial,71107.5,1-2,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.21448908765744
770,Empresarial Ejecutivo,presencial,116857.894736842,1-2,Masculino,Menor a 25,Casado/a,Profesional,No recomienda,250+,4,1.21952158753841
1324,Empresarial Ejecutivo,presencial,188708.695652174,1-2,Masculino,Mayor a 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,4,1.22085721503394
1173,Postpago cuenta control,online,263300,1-2,Femenino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,72 - 158,1,1.22119716205415
1942,Postpago cuenta control,presencial,90033.3333333333,3-4,Femenino,Entre  26 y 45,Separado/a,Profesional,Recomienda,250+,2,1.22137259432241
1696,Empresarial bajo costo,online,2439300,3-4,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,72 - 158,3,1.22510631690494
700,Prepago,online,64780,3-4,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,159 - 249,1,1.22994526698239
1589,Empresarial Ejecutivo,presencial,151200,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,<= 71,2,1.2305920933707
1078,Postpago cuenta control,online,116095.454545455,3-4,Femenino,Entre  26 y 45,Divorciado/a,Bachillerato o inferior,Recomienda,250+,3,1.23229439740996
727,Empresarial Ejecutivo,presencial,177800,1-2,Femenino,Menor a 25,Casado/a,Posgrado,Recomienda,159 - 249,1,1.23824773377216
1077,Postpago cuenta control,online,194040,5-6,Femenino,Entre  26 y 45,Separado/a,Bachillerato o inferior,Recomienda,<= 71,2,1.23846688117193
988,Empresarial Ejecutivo,presencial,61680,3-4,Masculino,Mayor a 45,Casado/a,Bachillerato o inferior,Recomienda,<= 71,1,1.24058109554799
797,Postpago cuenta control,online,78876.4285714286,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.24466352551923
1998,Prepago,presencial,173200,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,1,1.24479995876574
974,Empresarial bajo costo,online,2355955.10204082,3-4,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,250+,4,1.24558322006809
536,Empresarial Ejecutivo,online,338620,3-4,Femenino,Entre  26 y 45,Casado/a,Profesional,No recomienda,<= 71,1,1.2485536159587
901,Empresarial Ejecutivo,presencial,119095,3-4,Masculino,Menor a 25,Casado/a,Profesional,Neutro,250+,4,1.25108255467719
189,Empresarial Ejecutivo,presencial,183600,1-2,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,<= 71,1,1.25151175068866
69,Postpago cuenta control,online,51600,3-4,Masculino,Menor a 25,Soltero/a,Profesional,Neutro,<= 71,1,1.25398879404469
219,Prepago,presencial,106870,1-2,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Neutro,<= 71,2,1.2544035650632
1672,Postpago cuenta control,online,82900,3-4,Femenino,Entre  26 y 45,Casado/a,Técnico,Neutro,72 - 158,1,1.25476925304291
460,Empresarial bajo costo,online,1296300,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,No recomienda,159 - 249,3,1.26321884553829
1682,Postpago cuenta control,presencial,71550.7142857143,1-2,Femenino,Menor a 25,Soltero/a,Posgrado,No recomienda,250+,4,1.27079637620141
638,Prepago,presencial,72053,1-2,Masculino,Menor a 25,Casado/a,Profesional,Neutro,159 - 249,4,1.27424284395449
1489,Postpago abierto,online,906150,3-4,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,1,1.2743581239668
1141,Empresarial Ejecutivo,online,120060,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,250+,4,1.27456717902637
1478,Empresarial Ejecutivo,online,222050,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,1,1.27646681541413
1693,Prepago,presencial,71637.9166666667,3-4,Femenino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Recomienda,<= 71,3,1.27806713917683
401,Empresarial Ejecutivo,presencial,314458.823529412,1-2,Femenino,Menor a 25,Separado/a,Profesional,Recomienda,159 - 249,4,1.27928752665162
155,Empresarial Ejecutivo,presencial,111000,1-2,Femenino,Menor a 25,Separado/a,Profesional,Recomienda,159 - 249,1,1.28627866824136
1762,Prepago,presencial,120700,0,Masculino,Entre  26 y 45,Casado/a,Posgrado,Recomienda,72 - 158,2,1.28697922206052
48,Postpago cuenta control,online,247280,3-4,Masculino,Menor a 25,Casado/a,Posgrado,Neutro,250+,1,1.28810314544116
1688,Prepago,presencial,101332.5,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,3,1.28888157573785
1671,Empresarial Ejecutivo,presencial,129600,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,No recomienda,<= 71,1,1.29456219564037
1512,Postpago cuenta control,presencial,118600,3-4,Masculino,Menor a 25,Casado/a,Profesional,Recomienda,159 - 249,1,1.30295450821969
1458,Prepago,online,69720,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,250+,1,1.30370172285218
1191,Postpago cuenta control,online,250900,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,No recomienda,<= 71,1,1.30375674391625
373,Empresarial Ejecutivo,presencial,123440,1-2,Femenino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Recomienda,250+,4,1.30409648922451
1226,Empresarial Ejecutivo,online,172700,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,250+,3,1.30642121101541
1396,Postpago cuenta control,online,162090,1-2,Femenino,Mayor a 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,1,1.30739601130621
1801,Prepago,online,172500,1-2,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,72 - 158,1,1.30774174011624
903,Empresarial Ejecutivo,presencial,207653,5-6,Femenino,Menor a 25,Soltero/a,Profesional,Neutro,250+,4,1.30936554219791
5,Postpago cuenta control,presencial,157160,3-4,Masculino,Menor a 25,Separado/a,Profesional,Neutro,250+,1,1.31174424779416
1165,Empresarial Ejecutivo,presencial,140471.111111111,0,Masculino,Menor a 25,Soltero/a,Profesional,No recomienda,159 - 249,4,1.31385827213089
827,Empresarial bajo costo,presencial,1625000,3-4,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,3,1.31449764013597
1524,Empresarial Ejecutivo,presencial,135060,3-4,Femenino,Entre  26 y 45,Divorciado/a,Bachillerato o inferior,Recomienda,<= 71,1,1.31527720724292
1574,Empresarial bajo costo,online,2130664.51612903,3-4,Femenino,Menor a 25,Casado/a,Profesional,Recomienda,250+,4,1.31667887335548
1237,Empresarial Ejecutivo,online,190900,0,Masculino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,1,1.31733731244196
1888,Empresarial Ejecutivo,online,175820,0,Femenino,Menor a 25,Soltero/a,Profesional,Recomienda,<= 71,1,1.32329754539257
1457,Empresarial Ejecutivo,presencial,373400,1-2,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,159 - 249,1,1.32492660747522
44,Prepago,online,384875,3-4,Masculino,Menor a 25,Casado/a,Profesional,Recomienda,250+,3,1.32766424115597
1049,Empresarial Ejecutivo,online,29200,3-4,Femenino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,<= 71,1,1.32873712616709
1217,Prepago,presencial,93524,3-4,Masculino,Menor a 25,Soltero/a,Posgrado,No recomienda,72 - 158,3,1.33086658907356
309,Postpago cuenta control,online,96401.4285714286,1-2,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,159 - 249,1,1.33353489171272
1084,Postpago cuenta control,presencial,64456,3-4,Femenino,Entre  26 y 45,Divorciado/a,Bachillerato o inferior,Recomienda,250+,4,1.33425165929549
1943,Empresarial Ejecutivo,online,136590,0,Femenino,Entre  26 y 45,Casado/a,Profesional,Recomienda,72 - 158,4,1.33526492217709
502,Prepago,online,100100,3-4,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,72 - 158,1,1.33583569428514
1488,Empresarial Ejecutivo,presencial,256200,0,Femenino,Menor a 25,Casado/a,Bachillerato o inferior,Recomienda,72 - 158,1,1.33584519981773
446,Empresarial Ejecutivo,online,300913.636363636,0,Femenino,Menor a 25,Casado/a,Bachillerato o inferior,No recomienda,159 - 249,4,1.3367310865385
654,Empresarial Ejecutivo,online,232000,1-2,Femenino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,159 - 249,1,1.3382567163549
1073,Postpago cuenta control,presencial,73643.3333333333,1-2,Femenino,Mayor a 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,3,1.34116846533985
624,Empresarial Ejecutivo,presencial,192537.5,1-2,Femenino,Entre  26 y 45,Soltero/a,Posgrado,Recomienda,159 - 249,4,1.34139796846109
628,Prepago,presencial,65070,3-4,Femenino,Menor a 25,Casado/a,Bachillerato o inferior,Recomienda,72 - 158,4,1.34165259239828
1857,Postpago cuenta control,online,251920,1-2,Femenino,Entre  26 y 45,Casado/a,Profesional,Recomienda,<= 71,1,1.34329560104054
1619,Postpago cuenta control,online,315010,1-2,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,159 - 249,1,1.34333027573268
774,Empresarial Ejecutivo,online,263900,1-2,Masculino,Mayor a 45,Soltero/a,Posgrado,Neutro,<= 71,1,1.34489176051208
518,Empresarial Ejecutivo,presencial,140360,1-2,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,250+,4,1.34568200009678
1521,Empresarial Ejecutivo,presencial,143700,3-4,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,No recomienda,72 - 158,2,1.34664073869037
1479,Empresarial Ejecutivo,presencial,246720,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,1,1.3469473013022
1334,Postpago cuenta control,presencial,44200,3-4,Masculino,Entre  26 y 45,Separado/a,Bachillerato o inferior,Recomienda,72 - 158,1,1.34729340142866
301,Empresarial Ejecutivo,online,340780,1-2,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Recomienda,<= 71,1,1.34757804898144
2002,Postpago cuenta control,online,208330,3-4,Femenino,Entre  26 y 45,Separado/a,Bachillerato o inferior,Neutro,250+,1,1.35207942758806
1025,Empresarial Ejecutivo,online,408040,3-4,Femenino,Menor a 25,Separado/a,Posgrado,Neutro,<= 71,1,1.35264635881686
1686,Postpago cuenta control,presencial,237030,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,<= 71,1,1.35327712815941
1005,Empresarial Ejecutivo,presencial,203291.875,3-4,Masculino,Mayor a 45,Divorciado/a,Posgrado,Recomienda,159 - 249,4,1.35395349304544
738,Postpago cuenta control,presencial,39450,3-4,Masculino,Entre  26 y 45,Casado/a,Bachillerato o inferior,Neutro,250+,1,1.35423986100062
1092,Postpago cuenta control,presencial,60532.8571428571,0,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,250+,3,1.35731737334777
1422,Prepago,presencial,73981.1111111111,1-2,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Recomienda,159 - 249,4,1.36173652960351
