marca,modelo,tipo,precio,motor,caballos,ancho,largo,peso_neto,deposito,mpg
Jeep,Grand Cherokee,Camioneta,26.895,4,195,72.3,181.5,3.88,20.5,19
Lexus,ES300,Automóvil,31.505,3,210,70.5,190.2,3.373,18.5,23
Lexus,GS300,Automóvil,37.805,3,225,70.9,189.2,3.638,19.8,23
Lexus,GS400,Automóvil,46.305,4,300,70.9,189.2,3.693,19.8,21
Lexus,LS400,Automóvil,54.005,4,290,72,196.7,3.89,22.5,22
Lexus,LX470,Camioneta,60.105,4.7,230,76.4,192.5,5.401,25.4,15
Lexus,RX300,Camioneta,34.605,3,220,71.5,180.1,3.9,17.2,21
Lincoln,Continental,Automóvil,39.08,4.6,275,73.6,208.5,3.868,20,22
Lincoln,Town car,Automóvil,43.33,4.6,215,78.2,215.3,4.121,19,21
Lincoln,Navigator,Camioneta,42.66,5.4,300,79.9,204.8,5.393,30,15
Mitsubishi,Mirage,Automóvil,13.987,1.8,113,66.5,173.6,2.25,13.2,30
Mitsubishi,Eclipse,Automóvil,19.047,2.4,154,68.9,175.4,2.91,15.9,24
Mitsubishi,Galant,Automóvil,17.357,2.4,145,68.5,187.8,2.945,16.3,25
Mitsubishi,Diamante,Automóvil,24.997,3.5,210,70.3,194.1,3.443,19,22
Mitsubishi,3000GT,Automóvil,25.45,3,161,72.4,180.3,3.131,19.8,21
Mitsubishi,Montero,Camioneta,31.807,3.5,200,69.9,186.6,4.52,24.3,18
Mitsubishi,Montero Sport,Camioneta,22.527,3,173,66.7,178.3,3.51,19.5,20
Mercury,Mystique,Automóvil,16.24,2,125,69.1,184.8,2.769,15,28
Mercury,Cougar,Automóvil,16.54,2,125,69.6,185,2.892,16,30
Mercury,Sable,Automóvil,19.035,3,153,73,199.7,3.379,16,24
Mercury,Grand Marquis,Automóvil,22.605,4.6,200,78.2,212,3.958,19,21
Mercury,Mountaineer,Camioneta,27.56,4,210,70.2,190.1,3.876,21,18
Mercury,Villager,Camioneta,22.51,3.3,170,74.9,194.7,3.944,20,21
Mercedes-Benz,C-Class,Automóvil,31.75,2.3,185,67.7,177.4,3.25,16.4,26
Mercedes-Benz,E-Class,Automóvil,49.9,3.2,221,70.8,189.4,3.823,21.1,25
Mercedes-Benz,S-Class,Automóvil,69.7,4.3,275,73.1,203.1,4.133,23.2,21
Mercedes-Benz,SL-Class,Automóvil,82.6,5,302,71.3,177.1,4.125,21.1,20
Mercedes-Benz,SLK,Automóvil,38.9,2.3,190,67.5,157.9,3.055,15.9,26
Mercedes-Benz,SLK230,Automóvil,41,2.3,185,67.5,157.3,2.975,14,27
Mercedes-Benz,CLK Coupe,Automóvil,41.6,3.2,215,67.8,180.3,3.213,16.4,26
Mercedes-Benz,CL500,Automóvil,85.5,5,302,73.1,196.6,4.115,23.2,20
Mercedes-Benz,M-Class,Camioneta,35.3,3.2,215,72.2,180.6,4.387,19,20
Nissan,Sentra,Automóvil,13.499,1.8,126,67.3,177.5,2.593,13.2,30
Nissan,Altima,Automóvil,20.39,2.4,155,69.1,183.5,3.012,15.9,25
Nissan,Maxima,Automóvil,26.249,3,222,70.3,190.5,3.294,18.5,25
Nissan,Quest,Camioneta,26.399,3.3,170,74.9,194.8,3.991,20,21
Nissan,Pathfinder,Camioneta,29.299,3.3,170,71.7,182.6,3.947,21,19
Nissan,Xterra,Camioneta,22.799,3.3,170,70.4,178,3.821,19.4,18
Nissan,Frontier,Camioneta,17.89,3.3,170,66.5,196.1,3.217,19.4,18
Oldsmobile,Cutlass,Automóvil,18.145,3.1,150,69.4,192,3.102,15.2,25
Oldsmobile,Intrigue,Automóvil,24.15,3.5,215,73.6,195.9,3.455,18, 
Oldsmobile,Alero,Automóvil,18.27,2.4,150,70.1,186.7,2.958,15,27
Oldsmobile,Aurora,Automóvil,36.229,4,250,74.4,205.4,3.967,18.5,22
Oldsmobile,Bravada,Camioneta,31.598,4.3,190,67.8,181.2,4.068,17.5,19
Oldsmobile,Silhouette,Camioneta,25.345,3.4,185,72.2,201.4,3.948,25,22
Plymouth,Neon,Automóvil,12.64,2,132,74.4,174.4,2.559,12.5,29
Plymouth,Breeze,Automóvil,16.08,2,132,71,186.3,2.942,16,27
Plymouth,Voyager,Camioneta,18.85,2.4,150,76.8,186.3,3.528,20,24
Plymouth,Prowler,Automóvil,43,3.5,253,76.3,165.4,2.85,12,21
Pontiac,Sunfire,Automóvil,21.61,2.4,150,68.4,181.9,2.906,15,27
Pontiac,Grand Am,Automóvil,19.72,3.4,175,70.4,186.3,3.091,15.2,25
Pontiac,Firebird,Automóvil,25.31,3.8,200,74.5,193.4,3.492,16.8,25
Pontiac,Grand Prix,Automóvil,21.665,3.8,195,72.7,196.5,3.396,18,25
Pontiac,Bonneville,Automóvil,23.755,3.8,205,72.6,202.5,3.59,17.5,24
Pontiac,Montana,Camioneta,25.635,3.4,185,72.7,201.3,3.942,25,23
Porsche,Boxter,Automóvil,41.43,2.7,217,70.1,171,2.778,17,22
Porsche,Carrera Coupe,Automóvil,71.02,3.4,300,69.5,174.5,3.032,17,21
Porsche,Carrera Cabriolet,Automóvil,74.97,3.4,300,69.5,174.5,3.075,17,23
Saab,9-5,Automóvil,33.12,2.3,170,70.6,189.2,3.28,18.5,23
Saab,9-3,Automóvil,26.1,2,185,67.4,182.2,2.99,16.9,23
Saturn,SL,Automóvil,10.685,1.9,100,66.4,176.9,2.332,12.1,33
Saturn,SC,Automóvil,12.535,1.9,100,66.4,180,2.367,12.1,33
Saturn,SW,Automóvil,14.29,1.9,124,66.4,176.9,2.452,12.1,31
Saturn,LW,Automóvil,18.835,2.2,137,69,190.4,3.075,13.1,27
Saturn,LS,Automóvil,15.01,2.2,137,69,190.4,2.91,13.1,28
Subaru,Outback,Automóvil,22.695,2.5,165,67.5,185.8,3.415,16.9,25
Subaru,Forester,Camioneta,20.095,2.5,165,68.3,175.2,3.125,15.9,24
Toyota,Corolla,Automóvil,13.108,1.8,120,66.7,174,2.42,13.2,33
Toyota,Camry,Automóvil,17.518,2.2,133,70.1,188.5,2.998,18.5,27
Toyota,Avalon,Automóvil,25.545,3,210,71.7,191.9,3.417,18.5,26
Toyota,Celica,Automóvil,16.875,1.8,140,68.3,170.5,2.425,14.5,31
Toyota,Tacoma,Camioneta,11.528,2.4,142,66.5,178.7,2.58,15.1,23
Toyota,Sienna,Camioneta,22.368,3,194,73.4,193.5,3.759,20.9,22
Toyota,RAV4,Camioneta,16.888,2,127,66.7,163.8,2.668,15.3,27
Toyota,4Runner,Camioneta,22.288,2.7,150,66.5,183.3,3.44,18.5,23
Toyota,Land Cruiser,Camioneta,51.728,4.7,230,76.4,192.5,5.115,25.4,15
Volkswagen,Golf,Automóvil,14.9,2,115,68.3,163.3,2.767,14.5,26
Volkswagen,Jetta,Automóvil,16.7,2,115,68.3,172.3,2.853,14.5,26
Volkswagen,Passat,Automóvil,21.2,1.8,150,68.5,184.1,3.043,16.4,27
Volkswagen,Cabrio,Automóvil,19.99,2,115,66.7,160.4,3.079,13.7,26
Volkswagen,GTI,Automóvil,17.5,2,115,68.3,163.3,2.762,14.6,26
Volkswagen,Beetle,Automóvil,15.9,2,115,67.9,161.1,2.769,14.5,26
Volvo,S40,Automóvil,23.4,1.9,160,67.6,176.6,2.998,15.8,25
Volvo,V40,Automóvil,24.4,1.9,160,67.6,176.6,3.042,15.8,25
Volvo,S70,Automóvil,27.5,2.4,168,69.3,185.9,3.208,17.9,25
Volvo,V70,Automóvil,28.8,2.4,168,69.3,186.2,3.259,17.9,25
Volvo,C70,Automóvil,45.5,2.3,236,71.5,185.7,3.601,18.5,23
Volvo,S80,Automóvil,36,2.9,201,72.1,189.8,3.6,21.1,24
